nsw_loca_2,2021 Median age (years)
ALEXANDRIA,34
ANNANDALE,38
BALMAIN,43
BALMAIN EAST,46
BARANGAROO,40
BEACONSFIELD,33
BIRCHGROVE,46
CAMPERDOWN,33
CENTENNIAL PARK,36
CHIPPENDALE,28
DARLINGHURST,37
DARLINGTON,29
DAWES POINT,55
DRUMMOYNE,42
ENMORE,35
ERSKINEVILLE,34
EVELEIGH,34
FOREST LODGE,36
GLEBE,36
HAYMARKET,31
KENSINGTON,32
LEICHHARDT,38
LILYFIELD,40
MARRICKVILLE,37
MILLERS POINT,37
MOORE PARK,37
NEWTOWN,34
PADDINGTON,37
PETERSHAM,36
POTTS POINT,39
PYRMONT,37
REDFERN,36
ROSEBERY,32
ROZELLE,40
RUSHCUTTERS BAY,38
ST PETERS,36
STANMORE,36
SURRY HILLS,35
SYDENHAM,36
SYDNEY,37
TEMPE,36
THE ROCKS,37
ULTIMO,30
WATERLOO,33
WOOLLOOMOOLOO,39
ZETLAND,30
