id,lc_ply_pid,dt_create,dt_retire,loc_pid,nsw_locali,nsw_loca_1,nsw_loca_2,nsw_loca_3,nsw_loca_4,nsw_loca_5,nsw_loca_6,nsw_loca_7
ckan_91e70237_d9d1_4719_a82f_e71b811154c6.298,24908,2015-09-03,,NSW887,2015-11-10,,CENTENNIAL PARK,,,G,,1
ckan_91e70237_d9d1_4719_a82f_e71b811154c6.489,14765,2011-05-17,,NSW4555,2008-09-11,,ZETLAND,,,G,,1
ckan_91e70237_d9d1_4719_a82f_e71b811154c6.773,26621,2016-09-12,,NSW3475,2016-11-11,,RUSHCUTTERS BAY,,,G,,1
ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1070,23687,2015-02-24,,NSW3218,2015-05-08,,PETERSHAM,,,G,,1
ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1203,23875,2015-02-24,,NSW30,2015-05-08,,ALEXANDRIA,,,G,,1
ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1204,23876,2015-02-24,,NSW3436,2015-05-08,,ROSEBERY,,,G,,1
ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1397,23590,2014-12-02,,NSW3677,2015-02-12,,ST PETERS,,,G,,1
ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1486,27914,2017-09-12,,NSW3748,2017-11-07,,SYDENHAM,,,G,,1
ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1456,16612,2012-02-16,,NSW2123,2012-05-04,,KENSINGTON,,,G,,1
ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1459,16617,2012-02-16,,NSW4218,2012-05-04,,WATERLOO,,,G,,1
ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1469,18012,2012-08-15,,NSW3875,2012-10-30,,THE ROCKS,,2000,G,,1
ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1488,28063,2017-09-12,,NSW2641,2013-11-01,,MILLERS POINT,,,G,,1
ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1643,28210,2017-09-12,,NSW3818,2017-11-07,,TEMPE,,,G,,1
ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1722,27886,2017-09-12,,NSW3467,2017-11-07,,ROZELLE,,,G,,1
ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2496,27772,2017-06-13,,NSW377,2017-08-10,,BIRCHGROVE,,,G,,1
ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1768,17916,2012-08-15,,NSW3282,2012-10-30,,POTTS POINT,,,G,,1
ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1872,16851,2012-02-16,,NSW3367,2012-05-04,,REDFERN,,,G,,1
ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2009,23397,2014-12-02,,NSW162,2015-02-12,,BALMAIN EAST,,,G,,1
ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2044,27885,2017-09-12,,NSW60,2017-11-07,,ANNANDALE,,,G,,1
ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2126,27578,2017-06-13,,NSW1307,2017-08-10,,DRUMMOYNE,,,G,,1
ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2127,27851,2017-06-13,,NSW161,2017-08-10,,BALMAIN,,,G,,1
ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2138,22233,2014-02-28,,NSW1489,2014-05-02,,EVELEIGH,,,G,,1
ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3121,10140,2009-06-05,,NSW237,2012-02-04,,BEACONSFIELD,,,G,,1
ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2450,13638,2010-11-23,,NSW2732,2012-02-04,,MOORE PARK,,,G,,1
ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3813,24062,2015-02-24,,NSW2525,2015-05-08,,MARRICKVILLE,,,G,,1
ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2726,22229,2014-02-28,,NSW1455,2014-05-02,,ERSKINEVILLE,,,G,,1
ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3467,24239,2015-02-24,,NSW921,2015-05-08,,CHIPPENDALE,,,G,,1
ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3201,26240,2016-06-07,,NSW2321,2016-08-08,,LEICHHARDT,,,G,,1
ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3240,26251,2016-06-07,,NSW1659,2016-08-08,,GLEBE,,,G,,1
ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3398,26377,2016-06-07,,NSW4043,2016-08-08,,ULTIMO,,,G,,1
ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3524,26052,2016-06-07,,NSW796,2016-08-08,,CAMPERDOWN,,,G,,1
ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3525,26053,2016-06-07,,NSW2986,2016-08-08,,NEWTOWN,,,G,,1
ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3536,26215,2016-06-07,,NSW2348,2016-08-08,,LILYFIELD,,,G,,1
ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3538,26046,2016-06-07,,NSW3749,2016-08-08,,SYDNEY,,,G,,1
ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3571,26827,2016-09-12,,NSW3311,2016-11-11,,PYRMONT,,,G,,1
ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3572,26626,2016-09-12,,NSW1222,2016-11-11,,DARLINGHURST,,,G,,1
ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3624,28062,2017-09-12,,NSW1233,2012-05-04,,DAWES POINT,,,G,,1
ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3672,17066,2012-02-16,,NSW1223,2012-05-04,,DARLINGTON,,2008,G,,1
ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4320,26374,2016-06-07,,NSW1895,2016-08-08,,HAYMARKET,,,G,,1
ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3999,24307,2015-05-22,,NSW3146,2015-08-06,,PADDINGTON,,,G,,1
ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4256,22501,2014-05-22,,NSW4437,2014-08-02,,WOOLLOOMOOLOO,,,G,,1
ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4288,26048,2016-06-07,,NSW1439,2016-08-08,,ENMORE,,2042,G,,1
ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4319,26250,2016-06-07,,NSW1564,2016-08-08,,FOREST LODGE,,,G,,1
ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4346,26047,2016-06-07,,NSW5006,2016-08-08,,BARANGAROO,,,G,,1
ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4366,23688,2015-02-24,,NSW3683,2015-05-08,,STANMORE,,,G,,1
ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4511,23988,2015-02-24,,NSW3733,2015-05-08,,SURRY HILLS,,,G,,1
