nsw_loca_2,count
SYDNEY,181
NEWTOWN,149
REDFERN,125
CAMPERDOWN,119
SURRY HILLS,103
KENSINGTON,100
ALEXANDRIA,99
GLEBE,89
DARLINGHURST,84
MOORE PARK,78
WATERLOO,75
PADDINGTON,75
ERSKINEVILLE,53
PYRMONT,52
MARRICKVILLE,46
FOREST LODGE,46
HAYMARKET,43
CENTENNIAL PARK,43
ANNANDALE,36
ROSEBERY,36
ROZELLE,36
CHIPPENDALE,36
ZETLAND,32
ULTIMO,32
MILLERS POINT,31
PETERSHAM,28
DARLINGTON,28
STANMORE,28
LILYFIELD,24
WOOLLOOMOOLOO,23
LEICHHARDT,16
EVELEIGH,15
THE ROCKS,14
ST PETERS,12
RUSHCUTTERS BAY,10
DRUMMOYNE,9
POTTS POINT,9
BARANGAROO,8
BALMAIN,8
ENMORE,7
DAWES POINT,6
BALMAIN EAST,4
BEACONSFIELD,3
TEMPE,3
SYDENHAM,2
BIRCHGROVE,2
